diet_group,variable,variable_order,angle,value,value_norm,raw_count,raw_mean,raw_std,raw_min,raw_25%,raw_50%,raw_75%,raw_max
fish,mean_ghgs,0,0.0,5.452488592039666,0.27041268322973167,72000.0,6.681694853621374,3.880619736184345,1.633671938,4.349331898,5.647907775,7.92787746475,27.14441723
fish,mean_land,1,0.6981317007977318,7.319217658908917,0.12762249111721033,72000.0,11.588848043123335,10.59206984348837,2.684139223,5.95899535375,7.948304504999999,12.6710783775,95.50999513
fish,mean_watscar,2,1.3962634015954636,19709.24384611692,0.4225283297685876,72000.0,19594.320647750723,6991.073430282161,4856.754585,14801.11645,18228.271625,22969.476169999998,78906.32319
fish,mean_eut,3,2.0943951023931953,23.065932187088332,0.3103239635956881,72000.0,26.61536252802433,13.513267438581062,6.496465935,18.051808214999998,23.439716815,31.8768279175,117.6429324
fish,mean_ghgs_ch4,4,2.792526803190927,0.9162552991843332,0.2797762546049961,72000.0,1.2437406342980695,0.9353067990128048,0.068282734,0.69109841175,1.0018462415,1.57813927875,7.365968392
fish,mean_ghgs_n2o,5,3.490658503988659,0.35916477163149996,0.19594014395475853,72000.0,0.4751559632122777,0.28495808257326655,0.110460436,0.28606409699999996,0.3843269755,0.56323348125,2.076198337
fish,mean_bio,6,4.1887902047863905,274.8575050563917,0.40606042587937374,72000.0,297.66641669530605,187.35478363741205,47.99260521,168.2894147,246.8166084,376.758409475,1953.557546
fish,mean_watuse,7,4.886921905584122,845.5949528909249,0.5651093675430559,72000.0,793.1173806586611,371.59625245896547,167.8219352,552.7890608,726.6020976,941.422370325,4027.505451
fish,mean_acid,8,5.585053606381854,25.515539673081665,0.32825813088928807,72000.0,29.68478676969955,14.808547827374378,6.485263525,21.456780072500003,26.50930144,35.524420712499996,104.7520069
fish,mean_ghgs,0,0.0,5.452488592039666,0.27041268322973167,72000.0,6.681694853621374,3.880619736184345,1.633671938,4.349331898,5.647907775,7.92787746475,27.14441723
meat,mean_ghgs,0,0.0,7.9371793365709165,0.49223266835931506,72000.0,6.681694853621374,3.880619736184345,1.633671938,4.349331898,5.647907775,7.92787746475,27.14441723
meat,mean_land,1,0.6981317007977318,13.692232765381084,0.3893920677579421,72000.0,11.588848043123335,10.59206984348837,2.684139223,5.95899535375,7.948304504999999,12.6710783775,95.50999513
meat,mean_watscar,2,1.3962634015954636,20485.836983835,0.4835240513761453,72000.0,19594.320647750723,6991.073430282161,4856.754585,14801.11645,18228.271625,22969.476169999998,78906.32319
meat,mean_eut,3,2.0943951023931953,31.951859903153334,0.5322871863906997,72000.0,26.61536252802433,13.513267438581062,6.496465935,18.051808214999998,23.439716815,31.8768279175,117.6429324
meat,mean_ghgs_ch4,4,2.792526803190927,1.5793299385269166,0.5191961182868354,72000.0,1.2437406342980695,0.9353067990128048,0.068282734,0.69109841175,1.0018462415,1.57813927875,7.365968392
meat,mean_ghgs_n2o,5,3.490658503988659,0.5636900455096666,0.45305766714694873,72000.0,0.4751559632122777,0.28495808257326655,0.110460436,0.28606409699999996,0.3843269755,0.56323348125,2.076198337
meat,mean_bio,6,4.1887902047863905,339.61791189303335,0.5715040161322743,72000.0,297.66641669530605,187.35478363741205,47.99260521,168.2894147,246.8166084,376.758409475,1953.557546
meat,mean_watuse,7,4.886921905584122,914.7691923732166,0.6572260978796652,72000.0,793.1173806586611,371.59625245896547,167.8219352,552.7890608,726.6020976,941.422370325,4027.505451
meat,mean_acid,8,5.585053606381854,35.725883740520835,0.5547456217632678,72000.0,29.68478676969955,14.808547827374378,6.485263525,21.456780072500003,26.50930144,35.524420712499996,104.7520069
meat,mean_ghgs,0,0.0,7.9371793365709165,0.49223266835931506,72000.0,6.681694853621374,3.880619736184345,1.633671938,4.349331898,5.647907775,7.92787746475,27.14441723
meat100,mean_ghgs,0,0.0,13.624875999997833,1.0,72000.0,6.681694853621374,3.880619736184345,1.633671938,4.349331898,5.647907775,7.92787746475,27.14441723
meat100,mean_land,1,0.6981317007977318,28.558030488128583,1.0,72000.0,11.588848043123335,10.59206984348837,2.684139223,5.95899535375,7.948304504999999,12.6710783775,95.50999513
meat100,mean_watscar,2,1.3962634015954636,27061.571591555832,1.0,72000.0,19594.320647750723,6991.073430282161,4856.754585,14801.11645,18228.271625,22969.476169999998,78906.32319
meat100,mean_eut,3,2.0943951023931953,50.675962938221666,1.0,72000.0,26.61536252802433,13.513267438581062,6.496465935,18.051808214999998,23.439716815,31.8768279175,117.6429324
meat100,mean_ghgs_ch4,4,2.792526803190927,2.910918953568417,1.0,72000.0,1.2437406342980695,0.9353067990128048,0.068282734,0.69109841175,1.0018462415,1.57813927875,7.365968392
meat100,mean_ghgs_n2o,5,3.490658503988659,0.9987577493110833,1.0,72000.0,0.4751559632122777,0.28495808257326655,0.110460436,0.28606409699999996,0.3843269755,0.56323348125,2.076198337
meat100,mean_bio,6,4.1887902047863905,507.34622461111667,1.0,72000.0,297.66641669530605,187.35478363741205,47.99260521,168.2894147,246.8166084,376.758409475,1953.557546
meat100,mean_watuse,7,4.886921905584122,1172.1722059941667,1.0,72000.0,793.1173806586611,371.59625245896547,167.8219352,552.7890608,726.6020976,941.422370325,4027.505451
meat100,mean_acid,8,5.585053606381854,55.79851725236583,1.0,72000.0,29.68478676969955,14.808547827374378,6.485263525,21.456780072500003,26.50930144,35.524420712499996,104.7520069
meat100,mean_ghgs,0,0.0,13.624875999997833,1.0,72000.0,6.681694853621374,3.880619736184345,1.633671938,4.349331898,5.647907775,7.92787746475,27.14441723
